ID1,ID2,total_ibd_length,proportion_ibd
AG0120-C_bissau,AG0102-C_bissau,900206,0.01692094785848994
AG0120-C_bissau,AG0118-C_bissau,1221161,0.022953859014293875
AG0120-C_bissau,AG0121-C_bissau,1433477,0.026944709958992258
AG0120-C_bissau,AG0123-C_bissau,686704,0.012907803967332451
AG0120-C_bissau,AG0124-C_bissau,329476,0.006193078269444806
AG0120-C_bissau,AG0128-C_bissau,523032,0.009831302168972112
AG0120-C_bissau,AG0133-C_bissau,2455272,0.04615113595156032
AG0120-C_bissau,AG0138-C_bissau,1085816,0.020409812776091375
AG0120-C_bissau,AG0144-C_bissau,1940239,0.03647018899230694
AG0120-C_bissau,AG0148-C_bissau,451405,0.008484947298797887
AG0120-C_bissau,AG0152-C_bissau,2606716,0.048997791081031965
AG0120-C_bissau,AG0162-C_bissau,3325366,0.0625060760496989
AG0120-C_bissau,AG0169-C_bissau,3621447,0.06807143682588743
AG0120-C_bissau,AG0178-C_bissau,757082,0.014230681695746619
AG0120-C_bissau,AG0179-C_bissau,343937,0.00646489808288931
AG0120-C_bissau,AG0183-C_bissau,1210974,0.022762376513805724
AG0120-C_bissau,AG0197-C_bissau,587585,0.011044688823925647
AG0120-C_bissau,AG0203-C_bissau,1645008,0.030920805454305814
AG0120-C_bissau,AG0214-C_bissau,3461979,0.06507395656792683
AG0120-C_bissau,AG0221-C_bissau,644653,0.012117381799076118
AG0120-C_bissau,AG0226-C_bissau,3673172,0.06904369876146706
AG0120-C_bissau,AG0446-CW_bissau,1723453,0.03239531657149371
AG0120-C_bissau,AG0454-CW_bissau,529632,0.009955360724309484
AG0121-C_bissau,AG0082-C_bissau,2415501,0.045403570375147806
AG0121-C_bissau,AG0085-C_bissau,2653258,0.04987262945717014
AG0121-C_bissau,AG0123-C_bissau,778927,0.014641296717162508
AG0121-C_bissau,AG0127-C_bissau,536937,0.010092670988966984
AG0121-C_bissau,AG0128-C_bissau,785197,0.01475915234473301
AG0121-C_bissau,AG0133-C_bissau,774108,0.01455071517501542
AG0121-C_bissau,AG0138-C_bissau,1411123,0.026524527391414743
AG0121-C_bissau,AG0144-C_bissau,1176103,0.022106915016355803
AG0121-C_bissau,AG0152-C_bissau,1070420,0.020120418000640742
AG0121-C_bissau,AG0156-C_bissau,909176,0.01708955471324391
AG0121-C_bissau,AG0162-C_bissau,1850575,0.03478479712779633
AG0121-C_bissau,AG0170-C_bissau,3590029,0.06748088050897992
AG0121-C_bissau,AG0178-C_bissau,487106,0.009156010099419023
AG0121-C_bissau,AG0183-C_bissau,1700772,0.03196898746640175
AG0121-C_bissau,AG0197-C_bissau,658823,0.012383731758035291
AG0121-C_bissau,AG0203-C_bissau,1014171,0.019063119564402594
AG0121-C_bissau,AG0214-C_bissau,934497,0.017565507240470818
AG0121-C_bissau,AG0221-C_bissau,799479,0.015027607539782759
AG0121-C_bissau,AG0226-C_bissau,3290591,0.06185241904032662
